المنطقة,المدينة,السنة,ربع السنة,عدد الملاك النساء,نسبة تملك النساء
منطقة الباحة,الباحه,2025,الربع الأول,7,14.29%
منطقة الباحة,الحجره,2025,الربع الأول,1,50.00%
منطقة الباحة,العقيق,2025,الربع الأول,13,30.23%
منطقة الباحة,المخواة,2025,الربع الأول,7,10.77%
منطقة الباحة,بلجرشي,2025,الربع الأول,14,28.57%
منطقة الباحة,قلوه,2025,الربع الأول,1,11.11%
منطقة الجوف,القريات,2025,الربع الأول,51,23.39%
منطقة الجوف,دومة الجندل,2025,الربع الأول,21,20.59%
منطقة الجوف,سكاكا,2025,الربع الأول,70,23.41%
منطقة الجوف,طبرجل,2025,الربع الأول,27,25.71%
منطقة الحدود الشمالية,العويقيله,2025,الربع الأول,1,3.45%
منطقة الحدود الشمالية,رفحاء,2025,الربع الأول,12,16.67%
منطقة الحدود الشمالية,طريف,2025,الربع الأول,4,9.52%
منطقة الحدود الشمالية,عرعر,2025,الربع الأول,119,20.07%
منطقة الحدود الشمالية,لينه,2025,الربع الأول,9,69.23%
منطقة الرياض,الارطاوي,2025,الربع الأول,3,16.67%
منطقة الرياض,الارطاويه,2025,الربع الأول,10,18.18%
منطقة الرياض,الافلاج,2025,الربع الأول,56,30.11%
منطقة الرياض,الحريق,2025,الربع الأول,3,7.14%
منطقة الرياض,الخرج,2025,الربع الأول,291,19.77%
منطقة الرياض,الدرعيه,2025,الربع الأول,54,18.62%
منطقة الرياض,الدلم,2025,الربع الأول,37,20.90%
منطقة الرياض,الدوادمي,2025,الربع الأول,92,22.06%
منطقة الرياض,الرياض,2025,الربع الأول,"2,442",21.01%
منطقة الرياض,الزلفي,2025,الربع الأول,81,24.25%
منطقة الرياض,السليل,2025,الربع الأول,8,23.53%
منطقة الرياض,الغاط,2025,الربع الأول,23,14.94%
منطقة الرياض,القصب,2025,الربع الأول,2,6.25%
منطقة الرياض,القويعيه,2025,الربع الأول,63,16.62%
منطقة الرياض,المجمعه,2025,الربع الأول,148,24.96%
منطقة الرياض,المزاحميه,2025,الربع الأول,82,16.08%
منطقة الرياض,ثادق,2025,الربع الأول,44,24.58%
منطقة الرياض,جلاجل,2025,الربع الأول,1,2.44%
منطقة الرياض,حريملاء,2025,الربع الأول,111,20.90%
منطقة الرياض,حوطة بني تميم,2025,الربع الأول,24,30.00%
منطقة الرياض,رماح,2025,الربع الأول,38,22.75%
منطقة الرياض,شقراء,2025,الربع الأول,139,31.38%
منطقة الرياض,ضرماء,2025,الربع الأول,85,20.33%
منطقة الرياض,عفيف,2025,الربع الأول,58,15.76%
منطقة الرياض,مرات,2025,الربع الأول,36,23.38%
منطقة الرياض,وادي الدواسر,2025,الربع الأول,15,26.32%
منطقة الشرقية,ابقيق,2025,الربع الأول,33,20.50%
منطقة الشرقية,الاحساء,2025,الربع الأول,61,35.26%
منطقة الشرقية,الجبيل,2025,الربع الأول,52,12.24%
منطقة الشرقية,الجفر,2025,الربع الأول,106,20.74%
منطقة الشرقية,الخبر,2025,الربع الأول,378,25.45%
منطقة الشرقية,الخفجي,2025,الربع الأول,49,16.33%
منطقة الشرقية,الدمام,2025,الربع الأول,359,26.40%
منطقة الشرقية,الظهران,2025,الربع الأول,17,29.31%
منطقة الشرقية,العيون,2025,الربع الأول,19,25.33%
منطقة الشرقية,القطيف,2025,الربع الأول,92,23.77%
منطقة الشرقية,النعيريه,2025,الربع الأول,43,14.29%
منطقة الشرقية,الهفوف,2025,الربع الأول,263,21.28%
منطقة الشرقية,حفر الباطن,2025,الربع الأول,191,16.13%
منطقة الشرقية,رأس تنوره,2025,الربع الأول,3,13.64%
منطقة الشرقية,قرية العليا,2025,الربع الأول,21,16.67%
منطقة القصيم,الاسياح,2025,الربع الأول,17,33.33%
منطقة القصيم,البدائع,2025,الربع الأول,59,21.30%
منطقة القصيم,البكيريه,2025,الربع الأول,46,28.22%
منطقة القصيم,الخبراء,2025,الربع الأول,49,28.49%
منطقة القصيم,الرس,2025,الربع الأول,90,29.13%
منطقة القصيم,الشماسيه,2025,الربع الأول,21,26.25%
منطقة القصيم,المذنب,2025,الربع الأول,79,20.41%
منطقة القصيم,النبهانيه,2025,الربع الأول,5,15.15%
منطقة القصيم,بريده,2025,الربع الأول,510,23.27%
منطقة القصيم,رياض الخبراء,2025,الربع الأول,59,17.51%
منطقة القصيم,ضريه,2025,الربع الأول,4,18.18%
منطقة القصيم,عقلة الصقور,2025,الربع الأول,6,16.67%
منطقة القصيم,عنيزه,2025,الربع الأول,124,24.08%
منطقة القصيم,عيون الجوى,2025,الربع الأول,13,25.49%
منطقة القصيم,قبه,2025,الربع الأول,1,9.09%
منطقة المدينة المنوره,الحناكية,2025,الربع الأول,39,29.10%
منطقة المدينة المنوره,المدينة المنورة,2025,الربع الأول,666,24.55%
منطقة المدينة المنوره,المهد,2025,الربع الأول,6,26.09%
منطقة المدينة المنوره,وادي الفرع,2025,الربع الأول,34,26.56%
منطقة المدينة المنوره,ينبع,2025,الربع الأول,10,6.54%
منطقة تبوك,تبوك,2025,الربع الأول,188,20.50%
منطقة تبوك,تيماء,2025,الربع الأول,23,25.27%
منطقة تبوك,حقل,2025,الربع الأول,2,7.41%
منطقة تبوك,ضباء,2025,الربع الأول,9,20.93%
منطقة جازان,ابو عريش,2025,الربع الأول,43,19.55%
منطقة جازان,احد المسارحه,2025,الربع الأول,3,16.67%
منطقة جازان,العيدابي,2025,الربع الأول,1,4.55%
منطقة جازان,بيش,2025,الربع الأول,8,8.89%
منطقة جازان,جيزان,2025,الربع الأول,167,25.81%
منطقة جازان,صامطه,2025,الربع الأول,13,22.03%
منطقة جازان,صبياء,2025,الربع الأول,31,20.81%
منطقة جازان,ضمد,2025,الربع الأول,5,18.52%
منطقة جازان,فرسان,2025,الربع الأول,5,55.56%
منطقة حائل,الحائط,2025,الربع الأول,2,16.67%
منطقة حائل,الروضة,2025,الربع الأول,20,16.39%
منطقة حائل,السليمي,2025,الربع الأول,12,28.57%
منطقة حائل,الشملى,2025,الربع الأول,9,18.37%
منطقة حائل,الشنان,2025,الربع الأول,48,32.00%
منطقة حائل,الغزاله,2025,الربع الأول,15,14.15%
منطقة حائل,الكهفه,2025,الربع الأول,9,31.03%
منطقة حائل,بقعاء,2025,الربع الأول,93,18.02%
منطقة حائل,حائل,2025,الربع الأول,359,25.92%
منطقة حائل,سميراء,2025,الربع الأول,5,15.63%
منطقة حائل,موقق,2025,الربع الأول,76,32.07%
منطقة عسير,ابها,2025,الربع الأول,131,25.74%
منطقة عسير,احد رفيده,2025,الربع الأول,13,14.29%
منطقة عسير,البرك,2025,الربع الأول,11,16.18%
منطقة عسير,البشائر,2025,الربع الأول,1,8.33%
منطقة عسير,المجارده,2025,الربع الأول,2,9.52%
منطقة عسير,بارق,2025,الربع الأول,8,20.51%
منطقة عسير,باللسمر,2025,الربع الأول,1,7.14%
منطقة عسير,بلقرن,2025,الربع الأول,3,12.50%
منطقة عسير,بيشه,2025,الربع الأول,50,24.63%
منطقة عسير,تثليت,2025,الربع الأول,31,18.79%
منطقة عسير,خميس مشيط,2025,الربع الأول,95,18.45%
منطقة عسير,رجال المع,2025,الربع الأول,8,19.51%
منطقة عسير,سراة عبيده,2025,الربع الأول,4,11.11%
منطقة عسير,طريب,2025,الربع الأول,38,26.21%
منطقة عسير,ظهران الجنوب,2025,الربع الأول,5,17.24%
منطقة عسير,محايل عسير,2025,الربع الأول,13,10.48%
منطقة مكة المكرمه,الجموم,2025,الربع الأول,9,17.65%
منطقة مكة المكرمه,الخرمه,2025,الربع الأول,9,15.25%
منطقة مكة المكرمه,الطائف,2025,الربع الأول,206,19.31%
منطقة مكة المكرمه,العرضيه الجنوبيه,2025,الربع الأول,1,20.00%
منطقة مكة المكرمه,العرضيه الشماليه,2025,الربع الأول,2,20.00%
منطقة مكة المكرمه,القنفذه,2025,الربع الأول,61,33.33%
منطقة مكة المكرمه,الكامل,2025,الربع الأول,5,31.25%
منطقة مكة المكرمه,الليث,2025,الربع الأول,9,20.93%
منطقة مكة المكرمه,بحره,2025,الربع الأول,22,27.50%
منطقة مكة المكرمه,تربه,2025,الربع الأول,21,14.79%
منطقة مكة المكرمه,جده,2025,الربع الأول,"2,252",28.78%
منطقة مكة المكرمه,خليص,2025,الربع الأول,48,28.40%
منطقة مكة المكرمه,رابغ,2025,الربع الأول,42,20.59%
منطقة مكة المكرمه,رنيه,2025,الربع الأول,2,3.45%
منطقة مكة المكرمه,مكة المكرمة,2025,الربع الأول,571,28.96%
منطقة نجران,ثار,2025,الربع الأول,1,4.17%
منطقة نجران,حبونا,2025,الربع الأول,6,22.22%
منطقة نجران,شروره,2025,الربع الأول,9,16.07%
منطقة نجران,نجران,2025,الربع الأول,68,12.34%
منطقة نجران,يدمه,2025,الربع الأول,10,20.41%
,,,,,
